Member_number,Date,itemDescription,year,month,day,day_of_week
4758,4/1/2014,bottled beer,2014,1,4,5
4758,4/1/2014,white bread,2014,1,4,5
4799,4/1/2014,dessert,2014,1,4,5
4799,4/1/2014,frozen fish,2014,1,4,5
1004,5/1/2014,dish cleaner,2014,1,5,6
1004,5/1/2014,cling film/bags,2014,1,5,6
1147,5/1/2014,soda,2014,1,5,6
1147,5/1/2014,whole milk,2014,1,5,6
1473,5/1/2014,hamburger meat,2014,1,5,6
1473,5/1/2014,rolls/buns,2014,1,5,6
1544,5/1/2014,other vegetables,2014,1,5,6
1544,5/1/2014,semi-finished bread,2014,1,5,6
1544,5/1/2014,shopping bags,2014,1,5,6
1897,5/1/2014,cream cheese ,2014,1,5,6
1897,5/1/2014,rolls/buns,2014,1,5,6
2040,5/1/2014,rolls/buns,2014,1,5,6
2040,5/1/2014,packaged fruit/vegetables,2014,1,5,6
2051,5/1/2014,flour,2014,1,5,6
2051,5/1/2014,cream cheese ,2014,1,5,6
2470,5/1/2014,tropical fruit,2014,1,5,6
2470,5/1/2014,white bread,2014,1,5,6
2470,5/1/2014,red/blush wine,2014,1,5,6
2565,5/1/2014,sausage,2014,1,5,6
2565,5/1/2014,sliced cheese,2014,1,5,6
2674,5/1/2014,root vegetables,2014,1,5,6
2674,5/1/2014,butter,2014,1,5,6
3864,5/1/2014,other vegetables,2014,1,5,6
3864,5/1/2014,cooking chocolate,2014,1,5,6
4456,5/1/2014,specialty bar,2014,1,5,6
4456,5/1/2014,soda,2014,1,5,6
4567,5/1/2014,whipped/sour cream,2014,1,5,6
4567,5/1/2014,red/blush wine,2014,1,5,6
4574,5/1/2014,seasonal products,2014,1,5,6
4574,5/1/2014,other vegetables,2014,1,5,6
4574,5/1/2014,bottled water,2014,1,5,6
4609,5/1/2014,beef,2014,1,5,6
4609,5/1/2014,spices,2014,1,5,6
4628,5/1/2014,whole milk,2014,1,5,6
4628,5/1/2014,napkins,2014,1,5,6
4628,5/1/2014,napkins,2014,1,5,6
4721,5/1/2014,cream cheese ,2014,1,5,6
4721,5/1/2014,semi-finished bread,2014,1,5,6
4747,5/1/2014,tropical fruit,2014,1,5,6
4747,5/1/2014,pastry,2014,1,5,6
4879,5/1/2014,dessert,2014,1,5,6
4879,5/1/2014,fruit/vegetable juice,2014,1,5,6
4943,5/1/2014,finished products,2014,1,5,6
4943,5/1/2014,other vegetables,2014,1,5,6
1590,6/1/2014,citrus fruit,2014,1,6,0
1590,6/1/2014,newspapers,2014,1,6,0
1863,6/1/2014,bottled beer,2014,1,6,0
1863,6/1/2014,newspapers,2014,1,6,0
1863,6/1/2014,seasonal products,2014,1,6,0
1863,6/1/2014,bottled water,2014,1,6,0
1879,6/1/2014,whole milk,2014,1,6,0
1879,6/1/2014,sugar,2014,1,6,0
2093,6/1/2014,napkins,2014,1,6,0
2093,6/1/2014,canned vegetables,2014,1,6,0
2259,6/1/2014,processed cheese,2014,1,6,0
2259,6/1/2014,roll products ,2014,1,6,0
2379,6/1/2014,berries,2014,1,6,0
2379,6/1/2014,brown bread,2014,1,6,0
2881,6/1/2014,butter milk,2014,1,6,0
2881,6/1/2014,canned vegetables,2014,1,6,0
2949,6/1/2014,pork,2014,1,6,0
2949,6/1/2014,other vegetables,2014,1,6,0
2949,6/1/2014,shopping bags,2014,1,6,0
3111,6/1/2014,oil,2014,1,6,0
3111,6/1/2014,UHT-milk,2014,1,6,0
3963,6/1/2014,candy,2014,1,6,0
3963,6/1/2014,domestic eggs,2014,1,6,0
4221,6/1/2014,bottled water,2014,1,6,0
4221,6/1/2014,frozen meals,2014,1,6,0
4694,6/1/2014,tropical fruit,2014,1,6,0
4694,6/1/2014,whipped/sour cream,2014,1,6,0
4694,6/1/2014,whipped/sour cream,2014,1,6,0
4872,6/1/2014,whole milk,2014,1,6,0
4872,6/1/2014,softener,2014,1,6,0
4872,6/1/2014,domestic eggs,2014,1,6,0
4872,6/1/2014,soda,2014,1,6,0
1004,7/1/2014,canned beer,2014,1,7,1
1004,7/1/2014,frozen fish,2014,1,7,1
1317,7/1/2014,specialty cheese,2014,1,7,1
1317,7/1/2014,onions,2014,1,7,1
1456,7/1/2014,liquor,2014,1,7,1
1456,7/1/2014,hygiene articles,2014,1,7,1
1770,7/1/2014,butter,2014,1,7,1
1770,7/1/2014,mayonnaise,2014,1,7,1
2035,7/1/2014,rice,2014,1,7,1
2035,7/1/2014,jam,2014,1,7,1
3189,7/1/2014,dish cleaner,2014,1,7,1
3189,7/1/2014,fruit/vegetable juice,2014,1,7,1
3232,7/1/2014,dessert,2014,1,7,1
3232,7/1/2014,soda,2014,1,7,1
3498,7/1/2014,pip fruit,2014,1,7,1
3498,7/1/2014,root vegetables,2014,1,7,1
3762,7/1/2014,sliced cheese,2014,1,7,1
3762,7/1/2014,newspapers,2014,1,7,1
4082,7/1/2014,ham,2014,1,7,1
4082,7/1/2014,yogurt,2014,1,7,1
4251,7/1/2014,root vegetables,2014,1,7,1
4251,7/1/2014,ice cream,2014,1,7,1
4251,7/1/2014,rolls/buns,2014,1,7,1
4270,7/1/2014,nut snack,2014,1,7,1
4270,7/1/2014,whole milk,2014,1,7,1
4306,7/1/2014,cream cheese ,2014,1,7,1
4306,7/1/2014,misc. beverages,2014,1,7,1
4594,7/1/2014,other vegetables,2014,1,7,1
4594,7/1/2014,tropical fruit,2014,1,7,1
4721,7/1/2014,processed cheese,2014,1,7,1
4721,7/1/2014,specialty bar,2014,1,7,1
4870,7/1/2014,soda,2014,1,7,1
4870,7/1/2014,bottled water,2014,1,7,1
1291,8/1/2014,onions,2014,1,8,2
1291,8/1/2014,sugar,2014,1,8,2
1291,8/1/2014,mustard,2014,1,8,2
1291,8/1/2014,rolls/buns,2014,1,8,2
1417,8/1/2014,yogurt,2014,1,8,2
1417,8/1/2014,frozen meals,2014,1,8,2
1759,8/1/2014,pet care,2014,1,8,2
1759,8/1/2014,newspapers,2014,1,8,2
1759,8/1/2014,dog food,2014,1,8,2
2399,8/1/2014,citrus fruit,2014,1,8,2
2399,8/1/2014,chocolate,2014,1,8,2
2834,8/1/2014,sliced cheese,2014,1,8,2
2834,8/1/2014,shopping bags,2014,1,8,2
2933,8/1/2014,soda,2014,1,8,2
2933,8/1/2014,seasonal products,2014,1,8,2
3172,8/1/2014,whole milk,2014,1,8,2
3172,8/1/2014,newspapers,2014,1,8,2
3322,8/1/2014,pip fruit,2014,1,8,2
3322,8/1/2014,soda,2014,1,8,2
3524,8/1/2014,frozen meals,2014,1,8,2
3524,8/1/2014,margarine,2014,1,8,2
3524,8/1/2014,semi-finished bread,2014,1,8,2
3628,8/1/2014,curd,2014,1,8,2
3628,8/1/2014,cream cheese ,2014,1,8,2
3628,8/1/2014,nut snack,2014,1,8,2
3628,8/1/2014,chocolate marshmallow,2014,1,8,2
3628,8/1/2014,yogurt,2014,1,8,2
3628,8/1/2014,female sanitary products,2014,1,8,2
3694,8/1/2014,whole milk,2014,1,8,2
3694,8/1/2014,dessert,2014,1,8,2
3694,8/1/2014,dish cleaner,2014,1,8,2
3722,8/1/2014,syrup,2014,1,8,2
3722,8/1/2014,whole milk,2014,1,8,2
3841,8/1/2014,specialty cheese,2014,1,8,2
3841,8/1/2014,brown bread,2014,1,8,2
3882,8/1/2014,hard cheese,2014,1,8,2
3882,8/1/2014,sweet spreads,2014,1,8,2
3911,8/1/2014,other vegetables,2014,1,8,2
3911,8/1/2014,margarine,2014,1,8,2
4130,8/1/2014,root vegetables,2014,1,8,2
4130,8/1/2014,semi-finished bread,2014,1,8,2
4130,8/1/2014,canned beer,2014,1,8,2
4130,8/1/2014,newspapers,2014,1,8,2
4375,8/1/2014,chicken,2014,1,8,2
4375,8/1/2014,domestic eggs,2014,1,8,2
4376,8/1/2014,pork,2014,1,8,2
4376,8/1/2014,cereals,2014,1,8,2
4933,8/1/2014,whole milk,2014,1,8,2
4933,8/1/2014,root vegetables,2014,1,8,2
1284,9/1/2014,salty snack,2014,1,9,3
1284,9/1/2014,soups,2014,1,9,3
1374,9/1/2014,sugar,2014,1,9,3
1374,9/1/2014,bottled water,2014,1,9,3
1374,9/1/2014,cream cheese ,2014,1,9,3
1587,9/1/2014,hygiene articles,2014,1,9,3
1587,9/1/2014,skin care,2014,1,9,3
1827,9/1/2014,soda,2014,1,9,3
1827,9/1/2014,pastry,2014,1,9,3
1832,9/1/2014,spread cheese,2014,1,9,3
1832,9/1/2014,specialty chocolate,2014,1,9,3
2515,9/1/2014,misc. beverages,2014,1,9,3
2515,9/1/2014,shopping bags,2014,1,9,3
2515,9/1/2014,yogurt,2014,1,9,3
2528,9/1/2014,sausage,2014,1,9,3
2528,9/1/2014,soda,2014,1,9,3
2528,9/1/2014,butter,2014,1,9,3
2591,9/1/2014,soda,2014,1,9,3
2591,9/1/2014,beverages,2014,1,9,3
2666,9/1/2014,root vegetables,2014,1,9,3
2666,9/1/2014,UHT-milk,2014,1,9,3
2675,9/1/2014,UHT-milk,2014,1,9,3
2675,9/1/2014,cling film/bags,2014,1,9,3
2765,9/1/2014,herbs,2014,1,9,3
2765,9/1/2014,grapes,2014,1,9,3
2765,9/1/2014,whipped/sour cream,2014,1,9,3
2927,9/1/2014,packaged fruit/vegetables,2014,1,9,3
2927,9/1/2014,popcorn,2014,1,9,3
3142,9/1/2014,pasta,2014,1,9,3
3142,9/1/2014,cream cheese ,2014,1,9,3
3219,9/1/2014,tropical fruit,2014,1,9,3
3219,9/1/2014,waffles,2014,1,9,3
3382,9/1/2014,candy,2014,1,9,3
3382,9/1/2014,tropical fruit,2014,1,9,3
3382,9/1/2014,rolls/buns,2014,1,9,3
3407,9/1/2014,bottled water,2014,1,9,3
3407,9/1/2014,cream cheese ,2014,1,9,3
3407,9/1/2014,bottled beer,2014,1,9,3
3475,9/1/2014,whole milk,2014,1,9,3
3475,9/1/2014,canned fish,2014,1,9,3
3846,9/1/2014,canned vegetables,2014,1,9,3
3846,9/1/2014,dental care,2014,1,9,3
3863,9/1/2014,turkey,2014,1,9,3
3863,9/1/2014,frozen dessert,2014,1,9,3
3863,9/1/2014,shopping bags,2014,1,9,3
3957,9/1/2014,salty snack,2014,1,9,3
3957,9/1/2014,newspapers,2014,1,9,3
4104,9/1/2014,white wine,2014,1,9,3
4104,9/1/2014,coffee,2014,1,9,3
4201,9/1/2014,pip fruit,2014,1,9,3
4201,9/1/2014,whipped/sour cream,2014,1,9,3
4277,9/1/2014,pip fruit,2014,1,9,3
4277,9/1/2014,butter,2014,1,9,3
4342,9/1/2014,ham,2014,1,9,3
4342,9/1/2014,whole milk,2014,1,9,3
4432,9/1/2014,root vegetables,2014,1,9,3
4432,9/1/2014,butter,2014,1,9,3
4523,9/1/2014,specialty chocolate,2014,1,9,3
4523,9/1/2014,domestic eggs,2014,1,9,3
4559,9/1/2014,rolls/buns,2014,1,9,3
4559,9/1/2014,frozen vegetables,2014,1,9,3
4559,9/1/2014,frozen vegetables,2014,1,9,3
4938,9/1/2014,brown bread,2014,1,9,3
4938,9/1/2014,dessert,2014,1,9,3
1018,10/1/2014,curd,2014,1,10,4
1018,10/1/2014,long life bakery product,2014,1,10,4
1442,10/1/2014,specialty bar,2014,1,10,4
1442,10/1/2014,candles,2014,1,10,4
1548,10/1/2014,long life bakery product,2014,1,10,4
1548,10/1/2014,bottled beer,2014,1,10,4
1664,10/1/2014,rolls/buns,2014,1,10,4
1664,10/1/2014,misc. beverages,2014,1,10,4
1664,10/1/2014,soda,2014,1,10,4
1694,10/1/2014,tropical fruit,2014,1,10,4
1694,10/1/2014,dessert,2014,1,10,4
1694,10/1/2014,rolls/buns,2014,1,10,4
1694,10/1/2014,long life bakery product,2014,1,10,4
1738,10/1/2014,yogurt,2014,1,10,4
1738,10/1/2014,rolls/buns,2014,1,10,4
1910,10/1/2014,sliced cheese,2014,1,10,4
1910,10/1/2014,sugar,2014,1,10,4
2138,10/1/2014,bottled water,2014,1,10,4
2138,10/1/2014,whisky,2014,1,10,4
2232,10/1/2014,beef,2014,1,10,4
2232,10/1/2014,flour,2014,1,10,4
2243,10/1/2014,meat,2014,1,10,4
2243,10/1/2014,tropical fruit,2014,1,10,4
2243,10/1/2014,yogurt,2014,1,10,4
2243,10/1/2014,candles,2014,1,10,4
2453,10/1/2014,salty snack,2014,1,10,4
2453,10/1/2014,napkins,2014,1,10,4
2453,10/1/2014,sugar,2014,1,10,4
3119,10/1/2014,meat,2014,1,10,4
3119,10/1/2014,whole milk,2014,1,10,4
3119,10/1/2014,whole milk,2014,1,10,4
3119,10/1/2014,yogurt,2014,1,10,4
3462,10/1/2014,citrus fruit,2014,1,10,4
3462,10/1/2014,other vegetables,2014,1,10,4
3462,10/1/2014,dessert,2014,1,10,4
3462,10/1/2014,bottled beer,2014,1,10,4
3617,10/1/2014,liquor (appetizer),2014,1,10,4
3617,10/1/2014,candy,2014,1,10,4
3617,10/1/2014,misc. beverages,2014,1,10,4
3687,10/1/2014,rolls/buns,2014,1,10,4
3687,10/1/2014,other vegetables,2014,1,10,4
3709,10/1/2014,pastry,2014,1,10,4
3709,10/1/2014,syrup,2014,1,10,4
4060,10/1/2014,other vegetables,2014,1,10,4
4060,10/1/2014,domestic eggs,2014,1,10,4
4060,10/1/2014,napkins,2014,1,10,4
4234,10/1/2014,berries,2014,1,10,4
4234,10/1/2014,beverages,2014,1,10,4
4234,10/1/2014,pastry,2014,1,10,4
4234,10/1/2014,napkins,2014,1,10,4
4300,10/1/2014,citrus fruit,2014,1,10,4
4300,10/1/2014,yogurt,2014,1,10,4
4501,10/1/2014,brown bread,2014,1,10,4
4501,10/1/2014,processed cheese,2014,1,10,4
4749,10/1/2014,finished products,2014,1,10,4
4749,10/1/2014,dessert,2014,1,10,4
4797,10/1/2014,white wine,2014,1,10,4
4797,10/1/2014,rolls/buns,2014,1,10,4
4900,10/1/2014,whole milk,2014,1,10,4
4900,10/1/2014,root vegetables,2014,1,10,4
1130,11/1/2014,margarine,2014,1,11,5
1130,11/1/2014,soda,2014,1,11,5
1148,11/1/2014,soda,2014,1,11,5
1148,11/1/2014,other vegetables,2014,1,11,5
1167,11/1/2014,rolls/buns,2014,1,11,5
1167,11/1/2014,other vegetables,2014,1,11,5
1169,11/1/2014,soda,2014,1,11,5
1169,11/1/2014,detergent,2014,1,11,5
1209,11/1/2014,sausage,2014,1,11,5
1209,11/1/2014,dessert,2014,1,11,5
1235,11/1/2014,bottled water,2014,1,11,5
1235,11/1/2014,soda,2014,1,11,5
1307,11/1/2014,other vegetables,2014,1,11,5
1307,11/1/2014,rolls/buns,2014,1,11,5
1868,11/1/2014,whole milk,2014,1,11,5
1868,11/1/2014,yogurt,2014,1,11,5
1889,11/1/2014,whole milk,2014,1,11,5
1889,11/1/2014,soups,2014,1,11,5
1981,11/1/2014,whole milk,2014,1,11,5
1981,11/1/2014,fruit/vegetable juice,2014,1,11,5
2391,11/1/2014,whole milk,2014,1,11,5
2391,11/1/2014,misc. beverages,2014,1,11,5
2428,11/1/2014,other vegetables,2014,1,11,5
2428,11/1/2014,domestic eggs,2014,1,11,5
2428,11/1/2014,semi-finished bread,2014,1,11,5
2499,11/1/2014,other vegetables,2014,1,11,5
2499,11/1/2014,beverages,2014,1,11,5
2499,11/1/2014,ice cream,2014,1,11,5
2499,11/1/2014,shopping bags,2014,1,11,5
4066,11/1/2014,fruit/vegetable juice,2014,1,11,5
4066,11/1/2014,chewing gum,2014,1,11,5
4510,11/1/2014,whole milk,2014,1,11,5
4510,11/1/2014,cream cheese ,2014,1,11,5
1369,12/1/2014,sugar,2014,1,12,6
1369,12/1/2014,flour,2014,1,12,6
1743,12/1/2014,root vegetables,2014,1,12,6
1743,12/1/2014,whipped/sour cream,2014,1,12,6
1743,12/1/2014,specialty bar,2014,1,12,6
1813,12/1/2014,meat,2014,1,12,6
1813,12/1/2014,chocolate,2014,1,12,6
1813,12/1/2014,brown bread,2014,1,12,6
1964,12/1/2014,soda,2014,1,12,6
1964,12/1/2014,brown bread,2014,1,12,6
2239,12/1/2014,curd,2014,1,12,6
2239,12/1/2014,yogurt,2014,1,12,6
2242,12/1/2014,frozen vegetables,2014,1,12,6
2242,12/1/2014,butter,2014,1,12,6
2560,12/1/2014,shopping bags,2014,1,12,6
2560,12/1/2014,other vegetables,2014,1,12,6
2668,12/1/2014,whole milk,2014,1,12,6
2668,12/1/2014,other vegetables,2014,1,12,6
2766,12/1/2014,pork,2014,1,12,6
2766,12/1/2014,long life bakery product,2014,1,12,6
3031,12/1/2014,whole milk,2014,1,12,6
3031,12/1/2014,specialty bar,2014,1,12,6
3493,12/1/2014,beef,2014,1,12,6
3493,12/1/2014,candy,2014,1,12,6
3837,12/1/2014,newspapers,2014,1,12,6
3837,12/1/2014,bottled water,2014,1,12,6
3837,12/1/2014,hard cheese,2014,1,12,6
4020,12/1/2014,whole milk,2014,1,12,6
